origin,destination,walk_distance,travel_time,boardings
1,1,82.0,60,0
1,2,1117.7911954861986,861,0
1,3,577.3363533805109,843,1
1,4,712.9864210504237,1766,2
1,5,599.75796240166,1824,1
2,1,1117.7934511252236,861,0
2,2,58.0,42,0
2,3,793.6472105252119,1497,1
2,4,1429.4199624016605,1743,1
2,5,751.1535864650493,1792,1
3,1,506.4268345853744,817,1
3,2,1015.8449398471738,1411,1
3,3,124.0,92,0
3,4,762.5798796959606,2283,2
3,5,928.886571424423,2238,2
4,1,965.7656541301225,1785,1
4,2,1065.3174060114104,1683,1
4,3,725.2345714260362,2707,2
4,4,50.0,36,0
4,5,1508.0531428520724,1167,0
5,1,419.22729323091136,1645,1
5,2,674.355962404887,1602,1
5,3,438.424,2052,2
5,4,1508.0546466114222,1168,0
5,5,26.0,18,0
